t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1787845777796,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777878,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777962,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778045,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778096,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778172,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778253,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778338,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778420,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778504,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778588,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778671,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778753,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778839,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845778921,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779001,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779087,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779170,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779254,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779337,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779420,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779504,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779586,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779672,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779753,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779837,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845779920,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780003,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780087,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780170,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780264,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780336,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780422,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780517,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780586,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780670,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780753,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780835,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845780920,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781003,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781086,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781170,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781253,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781337,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781421,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781504,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781589,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781670,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781754,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781837,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845781919,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782002,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782086,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782170,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782252,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782337,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782421,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782503,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782586,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782670,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782753,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782837,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845782922,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783002,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783086,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783170,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783254,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783340,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783420,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783503,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783585,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783670,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783752,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783835,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845783928,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784001,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784086,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784170,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784252,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784337,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784387,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784461,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784544,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784627,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784710,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784794,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784880,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845784961,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785045,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785128,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785210,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785294,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785380,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785461,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785515,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785584,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785669,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785752,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785835,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845785919,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786003,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786085,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786169,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786253,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786335,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786420,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786502,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786549,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786623,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786709,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786794,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786877,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845786961,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787011,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787086,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787168,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787252,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787335,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787419,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787501,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787586,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787668,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787752,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787835,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845787918,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788003,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788086,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788170,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788253,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788335,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788419,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788502,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788585,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788668,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788753,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788836,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845788918,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789000,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789085,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789173,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789251,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789336,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789419,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789501,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789585,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789669,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789752,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789835,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845789916,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790001,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790084,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790170,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790219,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790294,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790378,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790459,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790510,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790584,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790668,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790750,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790830,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845790917,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845791002,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845791084,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845791168,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845791252,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845791337,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845791419,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845791501,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845791585,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845791667,0.0000,0.0000,0.0000,0.0000,0.0000,default
